supplier,unit,horizon,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
IEK,упак,28,sultan_mean59,365,65,23014.0,23716.949,41.163,3.054,19.054,22.109,33.699,25.954214070118418
IEK,упак,28,mean28,365,65,23014.0,24252.0,47.51,5.379,21.065,26.445,33.699,29.956164383561642
IEK,упак,28,weekly_ewma,365,65,23014.0,24358.906,45.892,5.844,20.024,25.868,33.699,28.935856786137744
IEK,упак,28,robust_ewma,365,65,23014.0,21556.845,41.098,-6.332,23.715,17.383,33.699,25.913054517801875
IEK,упак,28,sba_a0.05_p0,365,65,23014.0,24357.388,43.021,5.837,18.592,24.429,33.699,27.12543616089937
IEK,упак,28,sba_a0.1_p0,365,65,23014.0,24438.887,48.449,6.191,21.129,27.32,33.699,30.548239507323988
IEK,упак,28,sba_a0.2_p0,365,65,23014.0,23698.51,54.804,2.974,25.915,28.889,33.699,34.555349397073776
IEK,упак,28,tsb_a0.05_p0.01,365,65,23014.0,21178.867,40.441,-7.974,24.208,16.234,33.699,25.499195408355096
IEK,упак,28,tsb_a0.05_p0.05,365,65,23014.0,24565.247,43.081,6.74,18.17,24.911,33.699,27.16363745446761
IEK,упак,28,tsb_a0.05_p0.1,365,65,23014.0,24851.226,44.831,7.983,18.424,26.407,33.699,28.26670990001967
IEK,упак,28,tsb_a0.05_p0.2,365,65,23014.0,24818.246,47.028,7.84,19.594,27.434,33.699,29.652033878106696
IEK,упак,28,tsb_a0.1_p0.01,365,65,23014.0,21252.167,44.482,-7.655,26.069,18.413,33.699,28.046816169032326
IEK,упак,28,tsb_a0.1_p0.05,365,65,23014.0,24608.525,47.343,6.929,20.207,27.136,33.699,29.85094153986609
IEK,упак,28,tsb_a0.1_p0.1,365,65,23014.0,24877.995,49.095,8.099,20.498,28.597,33.699,30.955458283780363
IEK,упак,28,tsb_a0.1_p0.2,365,65,23014.0,24825.212,51.09,7.87,21.61,29.48,33.699,32.213195442541554
IEK,упак,28,tsb_a0.2_p0.01,365,65,23014.0,21225.575,50.636,-7.771,29.203,21.432,33.699,31.926948966073855
IEK,упак,28,tsb_a0.2_p0.05,365,65,23014.0,24576.943,53.887,6.791,23.548,30.339,33.699,33.97671012589218
IEK,упак,28,tsb_a0.2_p0.1,365,65,23014.0,24810.289,55.097,7.805,23.646,31.451,33.699,34.739670055822145
IEK,упак,28,tsb_a0.2_p0.2,365,65,23014.0,24664.732,56.225,7.173,24.526,31.699,33.699,35.451051644323
IEK,шт,7,sultan_mean59,8789,1619,184350.0,197915.508,61.022,7.359,26.832,34.19,65.252,12.799336998675154
IEK,шт,7,mean28,8789,1619,184350.0,202712.25,64.677,9.961,27.358,37.319,65.252,13.565963135737855
IEK,шт,7,weekly_ewma,8789,1619,184350.0,204808.779,63.476,11.098,26.189,37.287,65.252,13.314143306566619
IEK,шт,7,robust_ewma,8789,1619,184350.0,187339.933,59.21,1.622,28.794,30.416,65.252,12.419360704549087
IEK,шт,7,sba_a0.05_p0,8789,1619,184350.0,222655.977,75.814,20.779,27.517,48.296,65.252,15.90199455330154
IEK,шт,7,sba_a0.1_p0,8789,1619,184350.0,227442.828,77.463,23.376,27.044,50.419,65.252,16.247997588182162
IEK,шт,7,sba_a0.2_p0,8789,1619,184350.0,227463.4,80.883,23.387,28.748,52.135,65.252,16.965348655452317
IEK,шт,7,tsb_a0.05_p0.01,8789,1619,184350.0,189082.763,63.893,2.567,30.663,33.23,65.252,13.40158613757142
IEK,шт,7,tsb_a0.05_p0.05,8789,1619,184350.0,201616.201,61.515,9.366,26.075,35.441,65.252,12.902877750444896
IEK,шт,7,tsb_a0.05_p0.1,8789,1619,184350.0,201051.444,61.556,9.06,26.248,35.308,65.252,12.91151890723743
IEK,шт,7,tsb_a0.05_p0.2,8789,1619,184350.0,198097.81,61.754,7.457,27.148,34.606,65.252,12.952868232217012
IEK,шт,7,tsb_a0.1_p0.01,8789,1619,184350.0,193050.94,65.63,4.72,30.455,35.175,65.252,13.765961180880884
IEK,шт,7,tsb_a0.1_p0.05,8789,1619,184350.0,205934.931,63.335,11.709,25.813,37.522,65.252,13.284667770673087
IEK,шт,7,tsb_a0.1_p0.1,8789,1619,184350.0,205222.323,63.223,11.322,25.95,37.272,65.252,13.260991420865285
IEK,шт,7,tsb_a0.1_p0.2,8789,1619,184350.0,202059.43,63.533,9.606,26.963,36.57,65.252,13.326057853136954
IEK,шт,7,tsb_a0.2_p0.01,8789,1619,184350.0,198967.161,69.697,7.929,30.884,38.813,65.252,14.618906993894015
IEK,шт,7,tsb_a0.2_p0.05,8789,1619,184350.0,212529.993,68.309,15.286,26.511,41.797,65.252,14.32779149439827
IEK,шт,7,tsb_a0.2_p0.1,8789,1619,184350.0,211602.748,68.101,14.783,26.659,41.442,65.252,14.284238226104346
IEK,шт,7,tsb_a0.2_p0.2,8789,1619,184350.0,208005.573,68.106,12.832,27.637,40.469,65.252,14.285391478506288
IEK,шт,28,sultan_mean59,8789,1619,798979.0,791662.034,36.804,-0.916,18.86,17.944,38.355,33.456927091067215
IEK,шт,28,mean28,8789,1619,798979.0,810849.0,40.0,1.486,19.257,20.743,38.355,36.36227102059392
IEK,шт,28,weekly_ewma,8789,1619,798979.0,819235.117,38.193,2.535,17.829,20.364,38.355,34.71961575830252
IEK,шт,28,robust_ewma,8789,1619,798979.0,749359.734,36.057,-6.21,21.134,14.923,38.355,32.77849227185434
IEK,шт,28,sba_a0.05_p0,8789,1619,798979.0,890623.91,49.183,11.47,18.856,30.327,38.355,44.71060550739031
IEK,шт,28,sba_a0.1_p0,8789,1619,798979.0,909771.313,50.855,13.867,18.494,32.361,38.355,46.23084580957431
IEK,шт,28,sba_a0.2_p0,8789,1619,798979.0,909853.598,55.591,13.877,20.857,34.734,38.355,50.53597931427537
IEK,шт,28,tsb_a0.05_p0.01,8789,1619,798979.0,756331.053,41.106,-5.338,23.222,17.884,38.355,37.36836551523675
IEK,шт,28,tsb_a0.05_p0.05,8789,1619,798979.0,806464.804,36.033,0.937,17.548,18.485,38.355,32.75595883188107
IEK,шт,28,tsb_a0.05_p0.1,8789,1619,798979.0,804205.776,37.137,0.654,18.241,18.896,38.355,33.759984496370706
IEK,шт,28,tsb_a0.05_p0.2,8789,1619,798979.0,792391.239,40.285,-0.825,20.555,19.73,38.355,36.62179742771366
IEK,шт,28,tsb_a0.1_p0.01,8789,1619,798979.0,772203.758,42.026,-3.351,22.688,19.337,38.355,38.204050005559914
IEK,шт,28,tsb_a0.1_p0.05,8789,1619,798979.0,823739.725,38.325,3.099,17.613,20.712,38.355,34.839849548394426
IEK,шт,28,tsb_a0.1_p0.1,8789,1619,798979.0,820889.292,39.415,2.742,18.336,21.079,38.355,35.83066431257497
IEK,шт,28,tsb_a0.1_p0.2,8789,1619,798979.0,808237.722,42.005,1.159,20.423,21.582,38.355,38.18579304040003
IEK,шт,28,tsb_a0.2_p0.01,8789,1619,798979.0,795868.643,45.552,-0.389,22.97,22.581,38.355,41.40940541875009
IEK,шт,28,tsb_a0.2_p0.05,8789,1619,798979.0,850119.971,43.97,6.401,18.785,25.185,38.355,39.97169862103413
IEK,шт,28,tsb_a0.2_p0.1,8789,1619,798979.0,846410.992,45.023,5.937,19.543,25.48,38.355,40.929249858254515
IEK,шт,28,tsb_a0.2_p0.2,8789,1619,798979.0,832022.294,47.148,4.136,21.506,25.642,38.355,42.8603920724442
Systeme electric,шт,7,sultan_mean59,3037,536,471531.0,504627.034,100.678,7.019,46.829,53.848,58.808,156.31415926734124
Systeme electric,шт,7,mean28,3037,536,471531.0,525153.75,101.483,11.372,45.056,56.428,58.808,157.56511359894634
Systeme electric,шт,7,weekly_ewma,3037,536,471531.0,527682.943,106.055,11.908,47.073,58.982,58.808,164.6630856710423
Systeme electric,шт,7,robust_ewma,3037,536,471531.0,366746.587,84.782,-22.222,53.502,31.28,58.808,131.63496173311566
Systeme electric,шт,7,sba_a0.05_p0,3037,536,471531.0,526303.461,105.604,11.616,46.994,58.61,58.808,163.96254915255574
Systeme electric,шт,7,sba_a0.1_p0,3037,536,471531.0,529718.737,110.071,12.34,48.865,61.206,58.808,170.89873811837478
Systeme electric,шт,7,sba_a0.2_p0,3037,536,471531.0,515596.971,117.285,9.345,53.97,63.315,58.808,182.09877381199018
Systeme electric,шт,7,tsb_a0.05_p0.01,3037,536,471531.0,469187.988,99.539,-0.497,50.018,49.521,58.808,154.545790380151
Systeme electric,шт,7,tsb_a0.05_p0.05,3037,536,471531.0,513390.047,100.95,8.877,46.036,54.914,58.808,156.73710279324905
Systeme electric,шт,7,tsb_a0.05_p0.1,3037,536,471531.0,510757.81,99.456,8.319,45.568,53.888,58.808,154.41751942807264
Systeme electric,шт,7,tsb_a0.05_p0.2,3037,536,471531.0,499768.435,96.648,5.988,45.33,51.318,58.808,150.05839635690077
Systeme electric,шт,7,tsb_a0.1_p0.01,3037,536,471531.0,482164.825,105.032,2.255,51.388,53.644,58.808,163.07485919039325
Systeme electric,шт,7,tsb_a0.1_p0.05,3037,536,471531.0,526902.953,106.992,11.743,47.625,59.368,58.808,166.11836961361442
Systeme electric,шт,7,tsb_a0.1_p0.1,3037,536,471531.0,522786.099,105.228,10.87,47.179,58.049,58.808,163.37876142654923
Systeme electric,шт,7,tsb_a0.1_p0.2,3037,536,471531.0,507853.356,101.496,7.703,46.897,54.6,58.808,157.58535520533772
Systeme electric,шт,7,tsb_a0.2_p0.01,3037,536,471531.0,487433.501,113.439,3.373,55.033,58.406,58.808,176.12762514504297
Systeme electric,шт,7,tsb_a0.2_p0.05,3037,536,471531.0,531269.361,116.171,12.669,51.751,64.42,58.808,180.37027630023914
Systeme electric,шт,7,tsb_a0.2_p0.1,3037,536,471531.0,525922.497,114.34,11.535,51.403,62.938,58.808,177.52721575223987
Systeme electric,шт,7,tsb_a0.2_p0.2,3037,536,471531.0,508050.976,110.009,7.745,51.132,58.877,58.808,170.80185919978538
Systeme electric,шт,28,sultan_mean59,3037,536,2039680.0,2018508.136,74.427,-1.038,37.732,36.694,34.146,499.8574195096633
Systeme electric,шт,28,mean28,3037,536,2039680.0,2100615.0,78.618,2.987,37.815,40.803,34.146,528.0062561738558
Systeme electric,шт,28,weekly_ewma,3037,536,2039680.0,2110731.772,82.542,3.483,39.529,43.013,34.146,554.3580591358054
Systeme electric,шт,28,robust_ewma,3037,536,2039680.0,1466986.347,66.951,-28.078,47.514,19.437,34.146,449.64769766553314
Systeme electric,шт,28,sba_a0.05_p0,3037,536,2039680.0,2105213.843,77.047,3.213,36.917,40.13,34.146,517.4530985365865
Systeme electric,шт,28,sba_a0.1_p0,3037,536,2039680.0,2118874.948,85.272,3.883,40.695,44.577,34.146,572.6940965286327
Systeme electric,шт,28,sba_a0.2_p0,3037,536,2039680.0,2062387.883,93.734,1.113,46.31,47.424,34.146,629.5262836488704
Systeme electric,шт,28,tsb_a0.05_p0.01,3037,536,2039680.0,1876751.954,72.978,-7.988,40.483,32.495,34.146,490.1285348193403
Systeme electric,шт,28,tsb_a0.05_p0.05,3037,536,2039680.0,2053560.189,73.477,0.681,36.398,37.079,34.146,493.4788509373097
Systeme electric,шт,28,tsb_a0.05_p0.1,3037,536,2039680.0,2043031.239,73.026,0.164,36.431,36.595,34.146,490.4527583342247
Systeme electric,шт,28,tsb_a0.05_p0.2,3037,536,2039680.0,1999073.741,71.015,-1.991,36.503,34.512,34.146,476.945814348418
Systeme electric,шт,28,tsb_a0.1_p0.01,3037,536,2039680.0,1928659.301,81.747,-5.443,43.595,38.152,34.146,549.0193841873142
Systeme electric,шт,28,tsb_a0.1_p0.05,3037,536,2039680.0,2107611.811,82.971,3.331,39.82,43.151,34.146,557.2418629770964
Systeme electric,шт,28,tsb_a0.1_p0.1,3037,536,2039680.0,2091144.397,82.304,2.523,39.89,42.414,34.146,552.7629869803218
Systeme electric,шт,28,tsb_a0.1_p0.2,3037,536,2039680.0,2031413.424,79.718,-0.405,40.062,39.657,34.146,535.396668976198
Systeme electric,шт,28,tsb_a0.2_p0.01,3037,536,2039680.0,1949734.003,90.405,-4.41,47.407,42.998,34.146,607.1700583061944
Systeme electric,шт,28,tsb_a0.2_p0.05,3037,536,2039680.0,2125077.445,92.415,4.187,44.114,48.301,34.146,620.6686003440535
Systeme electric,шт,28,tsb_a0.2_p0.1,3037,536,2039680.0,2103689.989,91.713,3.138,44.287,47.426,34.146,615.9535622968785
Systeme electric,шт,28,tsb_a0.2_p0.2,3037,536,2039680.0,2032203.902,88.811,-0.367,44.589,44.222,34.146,596.4653574771762
