phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct,mae
retrospective_2026,IEK,упак,7,intermittent,tsb_selected,370,60,147.0,279.687,214.266,90.264,62.001,152.265,85.405,0.8512724759099861
retrospective_2026,IEK,м,7,intermittent,sultan_mean59,516,82,7803.0,3782.373,136.07,-51.527,93.799,42.272,86.822,20.57669819997372
retrospective_2026,IEK,м,7,intermittent,mean28,516,82,7803.0,3115.5,128.194,-60.073,94.134,34.061,86.822,19.385658914728683
retrospective_2026,IEK,м,7,intermittent,weekly_ewma,516,82,7803.0,3074.19,126.828,-60.602,93.715,33.113,86.822,19.179103888332758
retrospective_2026,IEK,м,7,intermittent,robust_ewma,516,82,7803.0,2689.393,122.671,-65.534,94.102,28.569,86.822,18.550427845622398
retrospective_2026,IEK,м,7,intermittent,baseline_selected,516,82,7803.0,2689.393,122.671,-65.534,94.102,28.569,86.822,18.550427845622398
retrospective_2026,IEK,м,7,intermittent,sba_selected,516,82,7803.0,7649.322,159.923,-1.969,80.946,78.977,86.822,24.18373213904157
retrospective_2026,IEK,м,7,intermittent,tsb_selected,516,82,7803.0,6343.933,147.012,-18.699,82.856,64.157,86.822,22.23133415302488
retrospective_2026,IEK,упак,7,regular,sultan_mean59,177,36,4690.0,5263.644,78.214,12.231,32.992,45.223,35.593,20.724600210667433
retrospective_2026,IEK,упак,7,regular,mean28,177,36,4690.0,5176.0,79.307,10.362,34.472,44.835,35.593,21.01412429378531
retrospective_2026,IEK,упак,7,regular,weekly_ewma,177,36,4690.0,5226.883,78.435,11.447,33.494,44.941,35.593,20.783086418989438
retrospective_2026,IEK,упак,7,regular,robust_ewma,177,36,4690.0,4431.708,69.354,-5.507,37.43,31.923,35.593,18.376767714437296
retrospective_2026,IEK,упак,7,regular,baseline_selected,177,36,4690.0,5263.644,78.214,12.231,32.992,45.223,35.593,20.724600210667433
retrospective_2026,IEK,упак,7,regular,sba_selected,177,36,4690.0,5253.838,75.775,12.022,31.877,43.899,35.593,20.078339589279853
retrospective_2026,IEK,упак,7,regular,tsb_selected,177,36,4690.0,5374.038,77.996,14.585,31.706,46.291,35.593,20.666841308142203
retrospective_2026,IEK,шт,28,all,sultan_mean59,14288,1866,878221.0,877723.593,42.344,-0.057,21.2,21.144,50.756,26.026952806195077
retrospective_2026,IEK,шт,28,all,mean28,14288,1866,878221.0,888653.0,46.652,1.188,22.732,23.92,50.756,28.67525195968645
retrospective_2026,IEK,шт,28,all,weekly_ewma,14288,1866,878221.0,883437.921,43.118,0.594,21.262,21.856,50.756,26.502607941558413
retrospective_2026,IEK,шт,28,all,robust_ewma,14288,1866,878221.0,786571.819,40.245,-10.436,25.341,14.905,50.756,24.737062131777773
retrospective_2026,IEK,шт,28,all,baseline_selected,14288,1866,878221.0,786571.819,40.245,-10.436,25.341,14.905,50.756,24.737062131777773
retrospective_2026,IEK,шт,28,all,sba_selected,14288,1866,878221.0,1183936.245,74.565,34.811,19.877,54.688,50.756,45.831552184242426
retrospective_2026,IEK,шт,28,all,tsb_selected,14288,1866,878221.0,895968.051,41.26,2.021,19.62,21.64,50.756,25.360614660735404
retrospective_2026,IEK,шт,28,intermittent,sultan_mean59,10571,1603,40213.0,36744.068,120.983,-8.626,64.805,56.178,66.313,4.602285754598847
retrospective_2026,IEK,шт,28,intermittent,mean28,10571,1603,40213.0,33072.0,129.001,-17.758,73.379,55.621,66.313,4.907293538927254
retrospective_2026,IEK,шт,28,intermittent,weekly_ewma,10571,1603,40213.0,34918.118,123.335,-13.167,68.251,55.084,66.313,4.691777790894969
retrospective_2026,IEK,шт,28,intermittent,robust_ewma,10571,1603,40213.0,30941.767,119.418,-23.055,71.237,48.181,66.313,4.542760832092904
retrospective_2026,IEK,шт,28,intermittent,baseline_selected,10571,1603,40213.0,30941.767,119.418,-23.055,71.237,48.181,66.313,4.542760832092904
retrospective_2026,IEK,шт,28,intermittent,sba_selected,10571,1603,40213.0,349105.954,867.086,768.142,49.472,817.614,66.313,32.98469487559583
retrospective_2026,IEK,шт,28,intermittent,tsb_selected,10571,1603,40213.0,37931.554,120.008,-5.673,62.84,57.167,66.313,4.565189769795529
