phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,sultan_mean59,582,101,64943.0,73098.508,90.148,12.558,38.795,51.353,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,mean28,582,101,64943.0,72645.25,90.527,11.86,39.334,51.194,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,weekly_ewma,582,101,64943.0,73836.234,88.487,13.694,37.397,51.09,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,robust_ewma,582,101,64943.0,59913.755,80.927,-7.744,44.336,36.591,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,seasonal364,582,101,64943.0,73836.234,88.487,13.694,37.397,51.09,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,seasonal_blend,582,101,64943.0,73836.234,88.487,13.694,37.397,51.09,51.89
validation_2025,IEK,м,7,no_ambiguous_rows_sensitivity,selected_2025,582,101,64943.0,59913.755,80.927,-7.744,44.336,36.591,51.89
validation_2025,IEK,упак,7,all,sultan_mean59,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11
validation_2025,IEK,упак,7,all,mean28,365,65,5820.0,6063.0,61.16,4.175,28.492,32.668,64.11
validation_2025,IEK,упак,7,all,weekly_ewma,365,65,5820.0,6089.726,57.894,4.634,26.63,31.264,64.11
validation_2025,IEK,упак,7,all,robust_ewma,365,65,5820.0,5389.211,52.665,-7.402,30.033,22.631,64.11
validation_2025,IEK,упак,7,all,seasonal364,365,65,5820.0,6089.726,57.894,4.634,26.63,31.264,64.11
validation_2025,IEK,упак,7,all,seasonal_blend,365,65,5820.0,6089.726,57.894,4.634,26.63,31.264,64.11
validation_2025,IEK,упак,7,all,selected_2025,365,65,5820.0,5929.237,51.879,1.877,25.001,26.878,64.11
validation_2025,IEK,упак,7,intermittent,sultan_mean59,234,50,250.0,130.983,117.912,-47.607,82.759,35.153,83.333
validation_2025,IEK,упак,7,intermittent,mean28,234,50,250.0,151.75,122.5,-39.3,80.9,41.6,83.333
validation_2025,IEK,упак,7,intermittent,weekly_ewma,234,50,250.0,150.003,119.8,-39.999,79.9,39.901,83.333
validation_2025,IEK,упак,7,intermittent,robust_ewma,234,50,250.0,135.296,117.049,-45.882,81.465,35.584,83.333
validation_2025,IEK,упак,7,intermittent,seasonal364,234,50,250.0,150.003,119.8,-39.999,79.9,39.901,83.333
validation_2025,IEK,упак,7,intermittent,seasonal_blend,234,50,250.0,150.003,119.8,-39.999,79.9,39.901,83.333
validation_2025,IEK,упак,7,intermittent,selected_2025,234,50,250.0,130.983,117.912,-47.607,82.759,35.153,83.333
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,sultan_mean59,359,64,5321.0,5337.678,52.936,0.313,26.311,26.625,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,mean28,359,64,5321.0,5475.25,62.643,2.899,29.872,32.771,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,weekly_ewma,359,64,5321.0,5478.506,58.795,2.96,27.917,30.877,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,robust_ewma,359,64,5321.0,4836.99,54.184,-9.096,31.64,22.544,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,seasonal364,359,64,5321.0,5478.506,58.795,2.96,27.917,30.877,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,seasonal_blend,359,64,5321.0,5478.506,58.795,2.96,27.917,30.877,65.181
validation_2025,IEK,упак,7,no_ambiguous_rows_sensitivity,selected_2025,359,64,5321.0,5337.678,52.936,0.313,26.311,26.625,65.181
validation_2025,IEK,м,7,intermittent,sultan_mean59,294,66,1361.0,1524.695,156.625,12.028,72.299,84.326,79.252
validation_2025,IEK,м,7,intermittent,mean28,294,66,1361.0,1499.75,165.265,10.195,77.535,87.73,79.252
validation_2025,IEK,м,7,intermittent,weekly_ewma,294,66,1361.0,1465.47,154.416,7.676,73.37,81.046,79.252
validation_2025,IEK,м,7,intermittent,robust_ewma,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252
validation_2025,IEK,м,7,intermittent,seasonal364,294,66,1361.0,1465.47,154.416,7.676,73.37,81.046,79.252
validation_2025,IEK,м,7,intermittent,seasonal_blend,294,66,1361.0,1465.47,154.416,7.676,73.37,81.046,79.252
validation_2025,IEK,м,7,intermittent,selected_2025,294,66,1361.0,1315.597,152.167,-3.336,77.752,74.416,79.252
